iter	Passed	Remaining
0	58	5789
1	58	2887
2	59	1919
3	59	1435
4	60	1145
5	60	950
6	61	812
7	61	709
8	62	628
9	62	563
10	63	509
11	63	465
12	63	427
13	64	394
14	64	366
15	65	341
16	65	320
17	65	300
18	66	283
19	66	267
20	67	253
21	67	240
22	68	229
23	68	218
24	69	208
25	69	198
26	70	189
27	70	181
28	71	173
29	71	166
30	71	160
31	72	153
32	72	147
33	73	142
34	73	136
35	74	131
36	74	127
37	75	122
38	75	118
39	75	113
40	76	110
41	76	106
42	77	102
43	77	99
44	78	95
45	78	92
46	79	89
47	79	86
48	80	83
49	80	80
50	80	77
51	81	75
52	81	72
53	82	70
54	82	67
55	83	65
56	83	62
57	83	60
58	84	58
59	84	56
60	85	54
61	85	52
62	86	50
63	87	48
64	87	47
65	87	45
66	88	43
67	88	41
68	89	40
69	89	38
70	90	36
71	90	35
72	90	33
73	91	32
74	91	30
75	92	29
76	92	27
77	92	26
78	93	24
79	93	23
80	94	22
81	94	20
82	95	19
83	95	18
84	96	16
85	96	15
86	97	14
87	97	13
88	98	12
89	98	10
90	98	9
91	99	8
92	99	7
93	100	6
94	100	5
95	101	4
96	101	3
97	102	2
98	102	1
99	102	0
